"HIGH SURF ADVISORY"			NA
"LATE SEASON SNOW"			NA
"GUSTY LAKE WIND"			NA
"ABNORMALLY DRY"			NA
"WINTER WEATHER MIX"			NA
"RED FLAG CRITERIA"			NA
"WND"			NA
"CSTL FLOODING/EROSION"			NA
"SMOKE"			NA
"WATERSPOUT"			"WATERSPOUT"
"SNOW ADVISORY"			NA
"EXTREMELY WET"			NA
"UNUSUALLY LATE SNOW"			NA
"VERY DRY"			NA
"RECORD LOW RAINFALL"			NA
"ROGUE WAVE"			NA
"SNOWMELT FLOODING"			NA
"PROLONG WARMTH"			NA
"ACCUMULATED SNOWFALL"			NA
"FALLING SNOW/ICE"			NA
"DUST DEVEL"			NA
"NON-THUNDERSTORM WIND"			"THUNDERSTORM WIND"
"NON THUNDERSTORM WIND"			"THUNDERSTORM WIND"
"BRUSH FIRE"			NA
"GUSTY THUNDERSTORM WIND"			NA
"PATCHY ICE"			NA
"SNOW SHOWER"			NA
"HEAVY RAIN EFFECT"			NA
"BLOWING DUST"			NA
"EXCESSIVE HEAT/DROUGHT"			NA
"NORTHERN LIGHT"			NA
"MARINE THUNDERSTORM WIND"			"MARINE THUNDERSTORM WIND"
"HIGH SURF ADVISORY"			NA
"WIND CHILL"			NA
"HAZARDOUS SURF"			NA
"WILDFIRE"			"WILDFIRE"
"FROST/FREEZE"			"FROST/FREEZE"
"WINTER WEATHER/MIX"			NA
"ASTRONOMICAL HIGH TIDE"			NA
"COLD WEATHER"			NA
"WHIRLWIND"			NA
"VERY WARM"			NA
"ABNORMALLY WET"			NA
"TORNADO DEBRI"			NA
"EXTREME COLD/WIND CHILL"			"EXTREME COLD/WIND CHILL"
"ICE ON ROAD"			NA
"FIRST SNOW"			NA
"ICE/SNOW"			NA
"DROWNING"			NA
"GUSTY THUNDERSTORM WIND"			NA
"MARINE HAIL"			"MARINE HAIL"
"HIGH SURF ADVISORIE"			NA
"HURRICANE/TYPHOON"			"HURRICANE/TYPHOON"
"HEAVY SURF/HIGH SURF"			NA
"SLEET STORM"			NA
"STORM SURGE/TIDE"			NA
"COLD/WIND CHILL"			"COLD/WIND CHILL"
"LAKE-EFFECT SNOW"			"LAKE-EFFECT SNOW"
"MARINE HIGH WIND"			"MARINE HIGH WIND"
"THUNDERSTORM WIND"			"THUNDERSTORM WIND"
"TSUNAMI"			"TSUNAMI"
"DENSE SMOKE"			"DENSE SMOKE"
"LAKESHORE FLOOD"			"LAKESHORE FLOOD"
"MARINE THUNDERSTORM WIND"			"MARINE THUNDERSTORM WIND"
"MARINE STRONG WIND"			"MARINE STRONG WIND"
"ASTRONOMICAL LOW TIDE"			"ASTRONOMICAL LOW TIDE"
"VOLCANIC ASHFALL"			"VOLCANIC ASH"
